gps_time,x,y,z,ve(m/3),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2020-10-13-16-03-44-180,-1708.553325,-2441.311219,15.722097,1.831472,-1.843596,-0.020897,0.014050,-0.009891,2.341866
2020-10-13-16-03-44-190,-1708.535024,-2441.329567,15.721906,1.831833,-1.843780,-0.023287,0.014778,-0.009975,2.341854
2020-10-13-16-03-44-200,-1708.516724,-2441.347938,15.721759,1.831491,-1.842769,-0.017175,0.015097,-0.010014,2.341856
2020-10-13-16-03-44-210,-1708.498422,-2441.366292,15.721668,1.831315,-1.840457,-0.010122,0.014961,-0.010007,2.341852
2020-10-13-16-03-44-220,-1708.480130,-2441.384634,15.721574,1.830877,-1.839309,-0.009019,0.014432,-0.009919,2.341850
2020-10-13-16-03-44-230,-1708.461832,-2441.402963,15.721386,1.831783,-1.841571,-0.020800,0.014337,-0.009934,2.341841
2020-10-13-16-03-44-240,-1708.443530,-2441.421322,15.721202,1.832170,-1.842156,-0.022651,0.014727,-0.009970,2.341843
2020-10-13-16-03-44-250,-1708.425217,-2441.439673,15.721066,1.832430,-1.840411,-0.017330,0.015180,-0.010020,2.341849
2020-10-13-16-03-44-259,-1708.406905,-2441.457995,15.720996,1.833000,-1.837813,-0.009241,0.015201,-0.010052,2.341856
2020-10-13-16-03-44-269,-1708.388585,-2441.476318,15.720961,1.833676,-1.836970,-0.003857,0.014711,-0.009964,2.341861
2020-10-13-16-03-44-279,-1708.370268,-2441.494639,15.720805,1.834625,-1.840080,-0.015654,0.014204,-0.009954,2.341872
2020-10-13-16-03-44-289,-1708.351938,-2441.512993,15.720624,1.834498,-1.840848,-0.022073,0.014439,-0.009979,2.341888
2020-10-13-16-03-44-299,-1708.333610,-2441.531330,15.720474,1.834614,-1.839808,-0.020296,0.015013,-0.010071,2.341897
2020-10-13-16-03-44-309,-1708.315285,-2441.549646,15.720417,1.833842,-1.837095,-0.010841,0.015366,-0.010142,2.341887
2020-10-13-16-03-44-319,-1708.296962,-2441.567930,15.720436,1.834409,-1.837099,-0.003141,0.014556,-0.009991,2.341882
2020-10-13-16-03-44-329,-1708.278633,-2441.586258,15.720352,1.834789,-1.838315,-0.008763,0.014072,-0.009957,2.341887
2020-10-13-16-03-44-339,-1708.260294,-2441.604604,15.720193,1.835451,-1.840028,-0.017885,0.014060,-0.009956,2.341895
2020-10-13-16-03-44-349,-1708.241970,-2441.622954,15.720026,1.834531,-1.841040,-0.021500,0.014620,-0.010053,2.341889
2020-10-13-16-03-44-359,-1708.223645,-2441.641240,15.720045,1.834582,-1.838577,-0.006410,0.015063,-0.010080,2.341872
2020-10-13-16-03-44-369,-1708.205305,-2441.659577,15.720050,1.834881,-1.838133,0.000646,0.014712,-0.010043,2.341866
2020-10-13-16-03-44-380,-1708.186977,-2441.677910,15.720023,1.834823,-1.838798,-0.001293,0.014083,-0.009968,2.341860
2020-10-13-16-03-44-390,-1708.168628,-2441.696273,15.719904,1.835984,-1.840995,-0.010925,0.013747,-0.009921,2.341851
2020-10-13-16-03-44-400,-1708.150304,-2441.714595,15.719774,1.834472,-1.840818,-0.015789,0.014631,-0.010064,2.341828
2020-10-13-16-03-44-410,-1708.131980,-2441.732929,15.719722,1.833866,-1.839057,-0.008592,0.014995,-0.010082,2.341813
2020-10-13-16-03-44-420,-1708.113663,-2441.751259,15.719734,1.832744,-1.837558,-0.000327,0.014824,-0.010092,2.341795
2020-10-13-16-03-44-430,-1708.095344,-2441.769584,15.719762,1.832869,-1.837159,0.003400,0.014256,-0.010025,2.341780
2020-10-13-16-03-44-440,-1708.077015,-2441.787911,15.719690,1.834209,-1.839713,-0.006841,0.014048,-0.010019,2.341764
2020-10-13-16-03-44-450,-1708.058715,-2441.806250,15.719629,1.832042,-1.839658,-0.009445,0.014253,-0.010070,2.341743
2020-10-13-16-03-44-460,-1708.040425,-2441.824593,15.719610,1.829681,-1.839164,-0.005664,0.014647,-0.010113,2.341728
2020-10-13-16-03-44-470,-1708.022120,-2441.842881,15.719694,1.831275,-1.837139,0.003882,0.014492,-0.010104,2.341696
2020-10-13-16-03-44-480,-1708.003810,-2441.861205,15.719751,1.832915,-1.837338,0.005575,0.014175,-0.010085,2.341675
2020-10-13-16-03-44-490,-1707.985500,-2441.879544,15.719777,1.832665,-1.838505,0.001831,0.013883,-0.010113,2.341665
2020-10-13-16-03-44-500,-1707.967206,-2441.897880,15.719754,1.831261,-1.838867,-0.004192,0.013876,-0.010151,2.341650
2020-10-13-16-03-44-509,-1707.948924,-2441.916209,15.719718,1.829386,-1.838049,-0.007177,0.014241,-0.010218,2.341637
2020-10-13-16-03-44-519,-1707.930622,-2441.934474,15.719797,1.831646,-1.835517,0.001398,0.014574,-0.010273,2.341618
2020-10-13-16-03-44-529,-1707.912308,-2441.952782,15.719859,1.832817,-1.834893,0.005405,0.014442,-0.010292,2.341602
2020-10-13-16-03-44-539,-1707.894000,-2441.971086,15.719907,1.832428,-1.834505,0.004656,0.014072,-0.010313,2.341589
2020-10-13-16-03-44-549,-1707.875719,-2441.989397,15.719897,1.830355,-1.835493,-0.001105,0.013833,-0.010329,2.341584
2020-10-13-16-03-44-559,-1707.857438,-2442.007658,15.719854,1.830293,-1.834855,-0.007120,0.014340,-0.010404,2.341579
2020-10-13-16-03-44-569,-1707.839127,-2442.025963,15.719830,1.831873,-1.834581,-0.005935,0.014629,-0.010449,2.341573
2020-10-13-16-03-44-579,-1707.820817,-2442.044268,15.719823,1.832409,-1.834785,-0.003475,0.014677,-0.010489,2.341565
2020-10-13-16-03-44-589,-1707.802515,-2442.062541,15.719809,1.832689,-1.835543,-0.005647,0.014187,-0.010471,2.341566
2020-10-13-16-03-44-599,-1707.784201,-2442.080855,15.719710,1.833277,-1.836683,-0.013335,0.014003,-0.010490,2.341577
2020-10-13-16-03-44-609,-1707.765886,-2442.099180,15.719538,1.832886,-1.837226,-0.021714,0.014110,-0.010534,2.341588
2020-10-13-16-03-44-619,-1707.747583,-2442.117513,15.719331,1.831985,-1.838467,-0.026195,0.014505,-0.010605,2.341601
2020-10-13-16-03-44-630,-1707.729278,-2442.135834,15.719148,1.831794,-1.837643,-0.024375,0.014917,-0.010696,2.341614
2020-10-13-16-03-44-640,-1707.710960,-2442.154107,15.719050,1.832834,-1.835039,-0.016751,0.014606,-0.010678,2.341615
2020-10-13-16-03-44-650,-1707.692656,-2442.172415,15.718868,1.832159,-1.835118,-0.019349,0.014249,-0.010679,2.341611
2020-10-13-16-03-44-660,-1707.674367,-2442.190732,15.718629,1.830454,-1.835956,-0.025558,0.014022,-0.010670,2.341615
2020-10-13-16-03-44-670,-1707.656089,-2442.209022,15.718371,1.829956,-1.837112,-0.029733,0.014599,-0.010762,2.341622
2020-10-13-16-03-44-680,-1707.637784,-2442.227348,15.718142,1.830997,-1.836308,-0.025373,0.014980,-0.010801,2.341626
2020-10-13-16-03-44-690,-1707.619484,-2442.245662,15.717985,1.831802,-1.835977,-0.016842,0.015010,-0.010823,2.341621
2020-10-13-16-03-44-700,-1707.601187,-2442.263977,15.717867,1.831297,-1.835608,-0.011229,0.014614,-0.010843,2.341618
2020-10-13-16-03-44-710,-1707.582923,-2442.282268,15.717693,1.829181,-1.836991,-0.017983,0.014251,-0.010786,2.341624
2020-10-13-16-03-44-720,-1707.564644,-2442.300598,15.717516,1.828575,-1.837320,-0.020122,0.014507,-0.010847,2.341613
2020-10-13-16-03-44-730,-1707.546371,-2442.318919,15.717386,1.828363,-1.836575,-0.015527,0.014946,-0.010903,2.341612
2020-10-13-16-03-44-740,-1707.528101,-2442.337230,15.717359,1.827795,-1.835094,-0.004447,0.015161,-0.010919,2.341599
2020-10-13-16-03-44-750,-1707.509838,-2442.355528,15.717418,1.826966,-1.833363,0.006240,0.014884,-0.010937,2.341582
2020-10-13-16-03-44-759,-1707.491595,-2442.373805,15.717436,1.826568,-1.835259,0.003073,0.014277,-0.010839,2.341555
2020-10-13-16-03-44-769,-1707.473333,-2442.392122,15.717447,1.827200,-1.836029,0.000506,0.014296,-0.010854,2.341529
2020-10-13-16-03-44-779,-1707.455081,-2442.410444,15.717469,1.826658,-1.836720,0.000356,0.014563,-0.010885,2.341511
2020-10-13-16-03-44-789,-1707.436813,-2442.428768,15.717562,1.827252,-1.836291,0.006445,0.014898,-0.010912,2.341496
2020-10-13-16-03-44-799,-1707.418548,-2442.447028,15.717748,1.828393,-1.834191,0.014863,0.014521,-0.010856,2.341477
2020-10-13-16-03-44-809,-1707.400271,-2442.465333,15.717881,1.829200,-1.834108,0.013965,0.014163,-0.010783,2.341461
2020-10-13-16-03-44-819,-1707.382006,-2442.483643,15.717974,1.828492,-1.834958,0.009051,0.013976,-0.010766,2.341451
2020-10-13-16-03-44-829,-1707.363754,-2442.501961,15.718041,1.826566,-1.835519,0.004892,0.014194,-0.010764,2.341433
2020-10-13-16-03-44-839,-1707.345494,-2442.520210,15.718200,1.827601,-1.832498,0.011074,0.014670,-0.010735,2.341412
2020-10-13-16-03-44-849,-1707.327224,-2442.538492,15.718358,1.828113,-1.831122,0.015042,0.014492,-0.010678,2.341374
2020-10-13-16-03-44-859,-1707.308954,-2442.556775,15.718498,1.828521,-1.831514,0.014101,0.014064,-0.010585,2.341343
2020-10-13-16-03-44-869,-1707.290690,-2442.575066,15.718559,1.827875,-1.832374,0.006630,0.013717,-0.010499,2.341325
2020-10-13-16-03-44-880,-1707.272432,-2442.593326,15.718565,1.828467,-1.833519,-0.002010,0.014240,-0.010471,2.341314
2020-10-13-16-03-44-890,-1707.254141,-2442.611614,15.718595,1.829663,-1.832013,-0.000881,0.014534,-0.010443,2.341309
2020-10-13-16-03-44-900,-1707.235858,-2442.629877,15.718645,1.830079,-1.829942,0.002158,0.014516,-0.010407,2.341298
2020-10-13-16-03-44-910,-1707.217576,-2442.648144,15.718677,1.829321,-1.829105,0.001938,0.014178,-0.010319,2.341283
2020-10-13-16-03-44-920,-1707.199322,-2442.666368,15.718633,1.827873,-1.829691,-0.006837,0.013902,-0.010257,2.341283
2020-10-13-16-03-44-930,-1707.181056,-2442.684624,15.718551,1.827902,-1.829558,-0.011890,0.014106,-0.010229,2.341278
2020-10-13-16-03-44-940,-1707.162790,-2442.702865,15.718468,1.827371,-1.827559,-0.012405,0.014416,-0.010203,2.341276
2020-10-13-16-03-44-950,-1707.144524,-2442.721091,15.718412,1.826939,-1.825345,-0.009510,0.014551,-0.010202,2.341268
2020-10-13-16-03-44-960,-1707.126263,-2442.739283,15.718397,1.827453,-1.825402,-0.006193,0.014166,-0.010125,2.341263
2020-10-13-16-03-44-970,-1707.108000,-2442.757509,15.718299,1.827936,-1.826237,-0.010969,0.013929,-0.010096,2.341260
2020-10-13-16-03-44-980,-1707.089738,-2442.775751,15.718155,1.827339,-1.827432,-0.016584,0.013915,-0.010078,2.341275
2020-10-13-16-03-44-990,-1707.071477,-2442.793978,15.718003,1.827594,-1.827153,-0.018858,0.014158,-0.010072,2.341288
2020-10-13-16-03-45-000,-1707.053222,-2442.812167,15.717901,1.827025,-1.825942,-0.015057,0.014365,-0.010133,2.341287
2020-10-13-16-03-45-009,-1707.034962,-2442.830400,15.717783,1.826710,-1.826231,-0.013112,0.014228,-0.010092,2.341291
2020-10-13-16-03-45-019,-1707.016699,-2442.848638,15.717628,1.827133,-1.827036,-0.016056,0.013928,-0.010070,2.341295
2020-10-13-16-03-45-029,-1706.998441,-2442.866881,15.717426,1.826795,-1.827613,-0.021177,0.013720,-0.010063,2.341307
2020-10-13-16-03-45-039,-1706.980347,-2442.885049,15.717221,1.826538,-1.828298,-0.025125,0.014152,-0.010126,2.341301
2020-10-13-16-03-45-049,-1706.962207,-2442.903272,15.717025,1.825617,-1.827955,-0.022744,0.014347,-0.010151,2.341292
2020-10-13-16-03-45-059,-1706.944070,-2442.921491,15.716872,1.825510,-1.827743,-0.017621,0.014286,-0.010142,2.341287
2020-10-13-16-03-45-069,-1706.925923,-2442.939724,15.716698,1.825924,-1.828284,-0.017610,0.013979,-0.010135,2.341286
2020-10-13-16-03-45-079,-1706.907832,-2442.957931,15.716476,1.826801,-1.829547,-0.023335,0.013839,-0.010112,2.341266
2020-10-13-16-03-45-089,-1706.889691,-2442.976177,15.716241,1.826270,-1.830843,-0.026111,0.013973,-0.010144,2.341253
2020-10-13-16-03-45-099,-1706.871555,-2442.994421,15.716011,1.825314,-1.830508,-0.026081,0.014179,-0.010130,2.341248
2020-10-13-16-03-45-109,-1706.853415,-2443.012666,15.715813,1.825366,-1.830255,-0.022901,0.014336,-0.010126,2.341232
2020-10-13-16-03-45-119,-1706.835315,-2443.030884,15.715673,1.827230,-1.830606,-0.017576,0.014151,-0.010064,2.341180
2020-10-13-16-03-45-130,-1706.817160,-2443.049145,15.715491,1.827338,-1.831634,-0.018725,0.013930,-0.010020,2.341151
2020-10-13-16-03-45-140,-1706.799020,-2443.067428,15.715267,1.825501,-1.833519,-0.023238,0.013849,-0.009981,2.341130
2020-10-13-16-03-45-150,-1706.780887,-2443.085694,15.715035,1.825112,-1.833484,-0.025675,0.014033,-0.009915,2.341116
2020-10-13-16-03-45-160,-1706.762789,-2443.103930,15.714861,1.826828,-1.832692,-0.021272,0.014461,-0.009927,2.341081
2020-10-13-16-03-45-170,-1706.744629,-2443.122204,15.714711,1.827375,-1.832527,-0.015834,0.014491,-0.009852,2.341054
2020-10-13-16-03-45-180,-1706.726480,-2443.140481,15.714574,1.826556,-1.832869,-0.013589,0.014292,-0.009800,2.341024
2020-10-13-16-03-45-190,-1706.708400,-2443.158723,15.714417,1.825293,-1.832321,-0.016877,0.014149,-0.009703,2.341008
2020-10-13-16-03-45-200,-1706.690252,-2443.176991,15.714248,1.825794,-1.831874,-0.018881,0.014274,-0.009660,2.340979
2020-10-13-16-03-45-210,-1706.672115,-2443.195256,15.714087,1.825285,-1.832090,-0.018242,0.014516,-0.009639,2.340943
2020-10-13-16-03-45-220,-1706.653977,-2443.213526,15.713970,1.824928,-1.832261,-0.013870,0.014703,-0.009604,2.340917
2020-10-13-16-03-45-230,-1706.635833,-2443.231794,15.713874,1.825029,-1.831826,-0.010516,0.014723,-0.009547,2.340887
2020-10-13-16-03-45-240,-1706.617734,-2443.250034,15.713790,1.826193,-1.831546,-0.010213,0.014417,-0.009440,2.340871
2020-10-13-16-03-45-250,-1706.599592,-2443.268306,15.713654,1.825904,-1.832664,-0.014744,0.014368,-0.009399,2.340843
2020-10-13-16-03-45-259,-1706.581451,-2443.286580,15.713492,1.825588,-1.833216,-0.018467,0.014517,-0.009365,2.340828
2020-10-13-16-03-45-269,-1706.563307,-2443.304862,15.713332,1.825127,-1.833545,-0.019190,0.014797,-0.009360,2.340815
2020-10-13-16-03-45-279,-1706.545207,-2443.323099,15.713236,1.826073,-1.831751,-0.013861,0.015010,-0.009327,2.340806
2020-10-13-16-03-45-289,-1706.527054,-2443.341365,15.713127,1.825721,-1.830916,-0.011609,0.014906,-0.009284,2.340791
2020-10-13-16-03-45-299,-1706.508923,-2443.359625,15.712981,1.824212,-1.830841,-0.014750,0.014726,-0.009226,2.340777
2020-10-13-16-03-45-309,-1706.490800,-2443.377897,15.712800,1.822499,-1.831517,-0.019167,0.014746,-0.009158,2.340776
2020-10-13-16-03-45-319,-1706.472723,-2443.396123,15.712644,1.824118,-1.831058,-0.019042,0.015291,-0.009193,2.340758
2020-10-13-16-03-45-329,-1706.454582,-2443.414383,15.712516,1.824257,-1.830375,-0.014650,0.015474,-0.009153,2.340744
2020-10-13-16-03-45-339,-1706.436463,-2443.432635,15.712420,1.822910,-1.830160,-0.010438,0.015407,-0.009097,2.340736
2020-10-13-16-03-45-349,-1706.418339,-2443.450896,15.712301,1.822312,-1.830423,-0.011264,0.015206,-0.009038,2.340730
2020-10-13-16-03-45-359,-1706.400275,-2443.469130,15.712150,1.823405,-1.831538,-0.015788,0.015321,-0.008985,2.340718
2020-10-13-16-03-45-369,-1706.382138,-2443.487398,15.712003,1.824179,-1.831732,-0.016789,0.015560,-0.008983,2.340706
2020-10-13-16-03-45-380,-1706.364012,-2443.505665,15.711878,1.823233,-1.831547,-0.014719,0.015742,-0.008966,2.340706
2020-10-13-16-03-45-390,-1706.345887,-2443.523923,15.711787,1.822189,-1.830245,-0.010988,0.015816,-0.008915,2.340701
2020-10-13-16-03-45-400,-1706.327814,-2443.542147,15.711688,1.823407,-1.829974,-0.011381,0.015689,-0.008879,2.340668
2020-10-13-16-03-45-410,-1706.309689,-2443.560399,15.711579,1.823271,-1.830208,-0.012044,0.015772,-0.008840,2.340655
2020-10-13-16-03-45-420,-1706.291559,-2443.578651,15.711468,1.823015,-1.829853,-0.012501,0.015922,-0.008834,2.340641
2020-10-13-16-03-45-430,-1706.273441,-2443.596900,15.711366,1.821459,-1.828952,-0.011854,0.016096,-0.008820,2.340619
2020-10-13-16-03-45-440,-1706.255370,-2443.615100,15.711299,1.823056,-1.828053,-0.009628,0.016156,-0.008798,2.340595
2020-10-13-16-03-45-450,-1706.237226,-2443.633350,15.711219,1.824280,-1.829032,-0.008934,0.016169,-0.008773,2.340572
2020-10-13-16-03-45-460,-1706.219078,-2443.651592,15.711128,1.825009,-1.828857,-0.009905,0.016188,-0.008744,2.340550
2020-10-13-16-03-45-470,-1706.201009,-2443.669798,15.711031,1.824084,-1.828470,-0.011764,0.016266,-0.008739,2.340550
2020-10-13-16-03-45-480,-1706.182860,-2443.688038,15.710927,1.824207,-1.827933,-0.012091,0.016383,-0.008729,2.340540
2020-10-13-16-03-45-490,-1706.164709,-2443.706273,15.710824,1.824934,-1.827880,-0.011889,0.016424,-0.008724,2.340533
2020-10-13-16-03-45-500,-1706.146572,-2443.724510,15.710726,1.824016,-1.828311,-0.011252,0.016429,-0.008710,2.340526
2020-10-13-16-03-45-509,-1706.128427,-2443.742743,15.710626,1.823605,-1.827435,-0.011256,0.016425,-0.008716,2.340521
2020-10-13-16-03-45-519,-1706.110348,-2443.760933,15.710534,1.823427,-1.826472,-0.011253,0.016434,-0.008702,2.340501
2020-10-13-16-03-45-529,-1706.092195,-2443.779156,15.710434,1.824254,-1.825979,-0.011248,0.016433,-0.008696,2.340481
2020-10-13-16-03-45-539,-1706.074055,-2443.797378,15.710322,1.824125,-1.826634,-0.012358,0.016373,-0.008679,2.340473
2020-10-13-16-03-45-549,-1706.055900,-2443.815610,15.710223,1.824314,-1.826892,-0.011648,0.016349,-0.008689,2.340468
2020-10-13-16-03-45-559,-1706.037808,-2443.833801,15.710129,1.824683,-1.826273,-0.011548,0.016368,-0.008719,2.340470
2020-10-13-16-03-45-569,-1706.019653,-2443.852015,15.710049,1.824801,-1.825393,-0.009178,0.016357,-0.008729,2.340467
2020-10-13-16-03-45-579,-1706.001497,-2443.870223,15.709972,1.824863,-1.824697,-0.008330,0.016243,-0.008758,2.340464
2020-10-13-16-03-45-589,-1705.983417,-2443.888397,15.709897,1.824093,-1.824672,-0.008968,0.016162,-0.008751,2.340459
2020-10-13-16-03-45-599,-1705.965255,-2443.906606,15.709827,1.824611,-1.824268,-0.007989,0.016150,-0.008810,2.340438
2020-10-13-16-03-45-609,-1705.947096,-2443.924802,15.709772,1.825158,-1.823727,-0.006406,0.016028,-0.008831,2.340422
2020-10-13-16-03-45-619,-1705.928930,-2443.942990,15.709723,1.825847,-1.822777,-0.005607,0.015760,-0.008818,2.340427
2020-10-13-16-03-45-630,-1705.910777,-2443.961198,15.709629,1.824933,-1.824261,-0.009285,0.015631,-0.008862,2.340434
2020-10-13-16-03-45-640,-1705.892659,-2443.979360,15.709576,1.826639,-1.823399,-0.007510,0.015897,-0.008941,2.340429
2020-10-13-16-03-45-650,-1705.874469,-2443.997550,15.709549,1.827873,-1.822446,-0.003500,0.015869,-0.009031,2.340421
2020-10-13-16-03-45-660,-1705.856277,-2444.015720,15.709538,1.828412,-1.820629,-0.001130,0.015622,-0.009051,2.340412
2020-10-13-16-03-45-670,-1705.838113,-2444.033893,15.709510,1.826301,-1.820750,-0.002163,0.015187,-0.009034,2.340406
2020-10-13-16-03-45-680,-1705.819999,-2444.052055,15.709400,1.826685,-1.822618,-0.011388,0.015194,-0.009063,2.340394
2020-10-13-16-03-45-690,-1705.801802,-2444.070237,15.709307,1.828232,-1.822079,-0.012271,0.015427,-0.009122,2.340374
2020-10-13-16-03-45-700,-1705.783608,-2444.088411,15.709264,1.828514,-1.821484,-0.007189,0.015649,-0.009180,2.340341
2020-10-13-16-03-45-710,-1705.765481,-2444.106553,15.709280,1.827728,-1.821037,-0.001399,0.015174,-0.009145,2.340314
2020-10-13-16-03-45-720,-1705.747287,-2444.124730,15.709245,1.828064,-1.821838,-0.003989,0.014766,-0.009071,2.340298
2020-10-13-16-03-45-730,-1705.729074,-2444.142918,15.709151,1.829816,-1.822691,-0.010830,0.014615,-0.009046,2.340279
2020-10-13-16-03-45-740,-1705.710851,-2444.161115,15.709006,1.830658,-1.823323,-0.017231,0.014843,-0.009096,2.340254
2020-10-13-16-03-45-750,-1705.692652,-2444.179302,15.708903,1.829378,-1.823215,-0.015173,0.015303,-0.009126,2.340221
2020-10-13-16-03-45-759,-1705.674510,-2444.197432,15.708928,1.829084,-1.820232,-0.003432,0.015207,-0.009074,2.340180
2020-10-13-16-03-45-769,-1705.656297,-2444.215606,15.708903,1.828918,-1.819778,-0.001666,0.014800,-0.008972,2.340145
2020-10-13-16-03-45-779,-1705.638083,-2444.233777,15.708844,1.830060,-1.820924,-0.005130,0.014436,-0.008868,2.340103
2020-10-13-16-03-45-789,-1705.619863,-2444.251964,15.708692,1.829863,-1.821613,-0.014682,0.014403,-0.008858,2.340054
2020-10-13-16-03-45-799,-1705.601734,-2444.270108,15.708593,1.828706,-1.821984,-0.013196,0.015134,-0.008860,2.340005
2020-10-13-16-03-45-809,-1705.583520,-2444.288286,15.708530,1.828989,-1.821240,-0.007694,0.015346,-0.008864,2.339951
2020-10-13-16-03-45-819,-1705.565303,-2444.306461,15.708521,1.829440,-1.820663,-0.001123,0.015225,-0.008775,2.339907
2020-10-13-16-03-45-829,-1705.547142,-2444.324612,15.708492,1.829923,-1.821004,-0.003910,0.014692,-0.008653,2.339865
2020-10-13-16-03-45-839,-1705.528941,-2444.342790,15.708411,1.828128,-1.821636,-0.009842,0.014568,-0.008590,2.339819
2020-10-13-16-03-45-849,-1705.510744,-2444.360972,15.708301,1.827126,-1.821966,-0.013769,0.014812,-0.008545,2.339780
2020-10-13-16-03-45-859,-1705.492554,-2444.379147,15.708191,1.826363,-1.821303,-0.014121,0.015293,-0.008585,2.339724
2020-10-13-16-03-45-869,-1705.474360,-2444.397329,15.708156,1.826066,-1.821149,-0.007266,0.015674,-0.008564,2.339669
2020-10-13-16-03-45-880,-1705.456216,-2444.415464,15.708205,1.827018,-1.819778,0.000737,0.015138,-0.008476,2.339608
2020-10-13-16-03-45-890,-1705.438033,-2444.433636,15.708161,1.826401,-1.820750,-0.003780,0.014698,-0.008377,2.339554
2020-10-13-16-03-45-900,-1705.419852,-2444.451830,15.708042,1.825422,-1.822703,-0.012535,0.014614,-0.008327,2.339495
2020-10-13-16-03-45-910,-1705.401673,-2444.470037,15.707860,1.824789,-1.824194,-0.020695,0.014966,-0.008406,2.339445
2020-10-13-16-03-45-920,-1705.383566,-2444.488206,15.707801,1.824245,-1.823226,-0.011729,0.015808,-0.008468,2.339417
2020-10-13-16-03-45-930,-1705.365396,-2444.506383,15.707764,1.823961,-1.820697,-0.003847,0.015859,-0.008521,2.339375
2020-10-13-16-03-45-940,-1705.347246,-2444.524557,15.707767,1.822383,-1.820052,0.001624,0.015431,-0.008464,2.339326
2020-10-13-16-03-45-950,-1705.329104,-2444.542724,15.707711,1.821461,-1.819716,-0.002444,0.014912,-0.008397,2.339276
2020-10-13-16-03-45-960,-1705.311031,-2444.560885,15.707499,1.820021,-1.821275,-0.018948,0.015147,-0.008465,2.339220
2020-10-13-16-03-45-970,-1705.292899,-2444.579066,15.707332,1.820016,-1.821751,-0.020716,0.015784,-0.008541,2.339170
2020-10-13-16-03-45-980,-1705.274746,-2444.597247,15.707221,1.821370,-1.820967,-0.014818,0.016311,-0.008639,2.339108
2020-10-13-16-03-45-990,-1705.256601,-2444.615416,15.707222,1.821801,-1.820138,-0.002564,0.016404,-0.008653,2.339056
2020-10-13-16-03-46-000,-1705.238500,-2444.633549,15.707195,1.823221,-1.819549,-0.003529,0.015418,-0.008531,2.339024
2020-10-13-16-03-46-009,-1705.220342,-2444.651731,15.707071,1.823185,-1.821211,-0.012786,0.015148,-0.008493,2.338991
2020-10-13-16-03-46-019,-1705.202184,-2444.669928,15.706861,1.822909,-1.822853,-0.023382,0.015496,-0.008521,2.338948
2020-10-13-16-03-46-029,-1705.184033,-2444.688122,15.706637,1.822509,-1.823533,-0.027382,0.016240,-0.008624,2.338904
2020-10-13-16-03-46-039,-1705.165898,-2444.706252,15.706516,1.823556,-1.820437,-0.011831,0.016667,-0.008614,2.338858
2020-10-13-16-03-46-049,-1705.147695,-2444.724413,15.706375,1.824450,-1.818912,-0.006673,0.016363,-0.008560,2.338812
2020-10-13-16-03-46-059,-1705.129490,-2444.742588,15.706191,1.824325,-1.819513,-0.010051,0.015863,-0.008444,2.338756
2020-10-13-16-03-46-069,-1705.111286,-2444.760774,15.705887,1.824630,-1.821430,-0.022183,0.015604,-0.008402,2.338711
2020-10-13-16-03-46-079,-1705.093114,-2444.778955,15.705494,1.823751,-1.823362,-0.030664,0.016591,-0.008445,2.338670
2020-10-13-16-03-46-089,-1705.074899,-2444.797148,15.705203,1.824246,-1.821902,-0.026224,0.017227,-0.008468,2.338633
2020-10-13-16-03-46-099,-1705.056699,-2444.815315,15.704997,1.824037,-1.820053,-0.016347,0.017372,-0.008428,2.338593
2020-10-13-16-03-46-109,-1705.038480,-2444.833479,15.704844,1.825156,-1.818688,-0.008416,0.017006,-0.008304,2.338536
2020-10-13-16-03-46-119,-1705.020309,-2444.851642,15.704525,1.823594,-1.820811,-0.019144,0.016381,-0.008160,2.338477
2020-10-13-16-03-46-130,-1705.002120,-2444.869829,15.704209,1.822430,-1.822053,-0.027456,0.016548,-0.008083,2.338438
2020-10-13-16-03-46-140,-1704.983920,-2444.888015,15.703873,1.822712,-1.821651,-0.031157,0.017147,-0.008089,2.338393
2020-10-13-16-03-46-150,-1704.965714,-2444.906184,15.703621,1.823579,-1.820082,-0.024235,0.017868,-0.008084,2.338335
2020-10-13-16-03-46-160,-1704.947512,-2444.924323,15.703516,1.825289,-1.818439,-0.005784,0.017584,-0.007990,2.338295
2020-10-13-16-03-46-170,-1704.929309,-2444.942485,15.703373,1.824183,-1.818564,-0.005189,0.016975,-0.007826,2.338256
2020-10-13-16-03-46-180,-1704.911114,-2444.960646,15.703156,1.823365,-1.819035,-0.013461,0.016601,-0.007716,2.338231
2020-10-13-16-03-46-190,-1704.892924,-2444.978812,15.702854,1.822156,-1.819238,-0.024176,0.016897,-0.007725,2.338203
2020-10-13-16-03-46-200,-1704.874744,-2444.996952,15.702672,1.822324,-1.818042,-0.012681,0.018240,-0.007829,2.338157
2020-10-13-16-03-46-210,-1704.856555,-2445.015077,15.702634,1.822231,-1.814831,0.003274,0.018361,-0.007853,2.338114
2020-10-13-16-03-46-220,-1704.838383,-2445.033176,15.702668,1.821036,-1.812162,0.013273,0.017705,-0.007740,2.338076
2020-10-13-16-03-46-230,-1704.820211,-2445.051289,15.702630,1.820302,-1.812442,0.008790,0.016863,-0.007599,2.338049
2020-10-13-16-03-46-240,-1704.802059,-2445.069419,15.702405,1.819881,-1.816212,-0.008403,0.017366,-0.007725,2.338013
2020-10-13-16-03-46-250,-1704.783889,-2445.087543,15.702324,1.820558,-1.815966,-0.005500,0.018195,-0.007834,2.337977
